model_id,category,status,stage,error,required_fields
bytedance/seedance,i2v,OK,complete,,url
bytedance/seedream,t2i,OK,complete,,prompt
bytedance/seedream-v4-edit,other,OK,complete,,prompt
bytedance/seedream-v4-text-to-image,other,OK,complete,,prompt
bytedance/v1-lite-image-to-video,other,OK,complete,,prompt
bytedance/v1-lite-text-to-video,other,OK,complete,,prompt
bytedance/v1-pro-fast-image-to-video,i2v,OK,complete,,url
bytedance/v1-pro-image-to-video,other,OK,complete,,prompt
bytedance/v1-pro-text-to-video,other,OK,complete,,prompt
elevenlabs/audio-isolation,audio_isolation,OK,complete,,audio_url
elevenlabs/sound-effect,sfx,OK,complete,,prompt
elevenlabs/sound-effect-v2,other,OK,complete,,prompt
elevenlabs/speech-to-text,stt,OK,complete,,audio_url
elevenlabs/text-to-speech,tts,OK,complete,,text
elevenlabs/text-to-speech-multilingual-v2,other,OK,complete,,prompt
flux-2/flex-image-to-image,i2i,OK,complete,,url|prompt
flux-2/flex-text-to-image,t2i,OK,complete,,prompt
flux-2/pro-image-to-image,i2i,OK,complete,,url|prompt
flux-2/pro-text-to-image,t2i,OK,complete,,prompt
flux/kontext,t2i,OK,complete,,prompt
google/imagen4,t2i,OK,complete,,prompt
google/imagen4-fast,t2i,OK,complete,,prompt
google/imagen4-ultra,t2i,OK,complete,,prompt
google/nano-banana,t2i,OK,complete,,prompt
google/nano-banana-edit,i2i,OK,complete,,url|prompt
google/nano-banana-pro,t2i,OK,complete,,prompt
google/veo-3,t2v,OK,complete,,prompt
google/veo-3.1,t2v,OK,complete,,prompt
grok-imagine/image-to-video,other,OK,complete,,prompt
grok-imagine/text-to-image,other,OK,complete,,prompt
grok-imagine/text-to-video,other,OK,complete,,prompt
grok/imagine,i2v,OK,complete,,url
hailuo/02-image-to-video-pro,other,OK,complete,,prompt
hailuo/02-image-to-video-standard,i2v,OK,complete,,url
hailuo/02-text-to-video-pro,other,OK,complete,,prompt
hailuo/02-text-to-video-standard,t2v,OK,complete,,prompt
hailuo/2-3-image-to-video-pro,other,OK,complete,,prompt
hailuo/2-3-image-to-video-standard,other,OK,complete,,prompt
hailuo/2.3,i2v,OK,complete,,url
ideogram/character,t2i,OK,complete,,prompt
ideogram/character-edit,i2i,OK,complete,,url|prompt
ideogram/character-remix,i2i,OK,complete,,url|prompt
ideogram/v3-edit,i2i,OK,complete,,url|prompt
ideogram/v3-reframe,i2i,OK,complete,,url|prompt
ideogram/v3-remix,i2i,OK,complete,,url|prompt
ideogram/v3-text-to-image,t2i,OK,complete,,prompt
infinitalk/from-audio,lip_sync,OK,complete,,video_url|audio_url
kling-2.6/image-to-video,i2v,OK,complete,,url
kling-2.6/text-to-video,t2v,OK,complete,,prompt
kling/ai-avatar-v1-pro,lip_sync,OK,complete,,video_url|audio_url
kling/v1-avatar-standard,lip_sync,OK,complete,,video_url|audio_url
kling/v2-1-master-image-to-video,i2v,OK,complete,,url
kling/v2-1-master-text-to-video,t2v,OK,complete,,prompt
kling/v2-1-pro,t2v,OK,complete,,prompt
kling/v2-1-standard,t2v,OK,complete,,prompt
kling/v2-5-turbo-image-to-video-pro,i2v,OK,complete,,url
kling/v2-5-turbo-text-to-video-pro,t2v,OK,complete,,prompt
midjourney/api,t2i,OK,complete,,prompt
openai/4o-image,t2i,OK,complete,,prompt
qwen/image-edit,i2i,OK,complete,,url|prompt
qwen/image-to-image,i2i,OK,complete,,url|prompt
qwen/text-to-image,t2i,OK,complete,,prompt
recraft/crisp-upscale,upscale,OK,complete,,url
recraft/remove-background,bg_remove,OK,complete,,url
runway/gen-4,i2v,OK,complete,,url
seedream/4.5-edit,i2i,OK,complete,,url|prompt
seedream/4.5-text-to-image,t2i,OK,complete,,prompt
suno/v5,music,OK,complete,,prompt
topaz/image-upscale,upscale,OK,complete,,url
topaz/video-upscale,upscale,OK,complete,,url
wan/2-2-a14b-image-to-video-turbo,i2v,OK,complete,,url
wan/2-2-a14b-speech-to-video-turbo,t2v,OK,complete,,prompt
wan/2-2-a14b-text-to-video-turbo,t2v,OK,complete,,prompt
wan/2-2-animate-move,t2v,OK,complete,,prompt
wan/2-2-animate-replace,other,OK,complete,,prompt
wan/2-5-image-to-video,i2v,OK,complete,,url
wan/2-5-text-to-video,t2v,OK,complete,,prompt
wan/2-6-image-to-video,i2v,OK,complete,,url
wan/2-6-text-to-video,t2v,OK,complete,,prompt
wan/2-6-video-to-video,v2v,OK,complete,,video_url
